DEPARTAMENTO,MUNICIPIO,ESTADOS,VELOCIDAD_SUBIDA,VELOCIDAD_BAJADA,TRAFICO_MENSUAL_SUBIDA,TRAFICO_MENSUAL_BAJADA,USUARIOS_ACTIVOS_MES,INVERSION,ZONA,DIFICULTADACCESO,TIPO_CONECTIVIDAD
SANTANDER,RIONEGRO,OPERACION,30.0,30.0,17.5068359375,198.279296875,114,65915373.47,URBANA,,
NARIÑO,ILES,OPERACION,30.0,30.0,21.6591796875,195.6826171875,86,65915373.47,URBANA,,
ANTIOQUIA,SAN JUAN DE URABA,OPERACION,30.0,30.0,15.9609375,332.345703125,73,65915373.47,URBANA,,
TOLIMA,SALDAÑA,OPERACION,20.0,20.0,16.365234375,225.4033203125,10,53963793.0,URBANA,,
LA GUAJIRA,VILLANUEVA,OPERACION,20.0,20.0,14.2880859375,230.373046875,31,53963793.0,URBANA,,
PUTUMAYO,PUERTO CAICEDO,OPERACION,30.0,30.0,9.2978515625,92.3212890625,37,65915373.47,URBANA,,
TOLIMA,HERVEO,OPERACION,30.0,30.0,0.0,0.0,0,65915373.47,URBANA,,
ATLANTICO,CANDELARIA,OPERACION,20.0,20.0,0.0,0.0,0,53963793.0,URBANA,,
CHOCO,MEDIO SAN JUAN,OPERACION,30.0,30.0,2.791015625,64.3349609375,13,65915373.47,URBANA,,
QUINDIO,QUIMBAYA,OPERACION,20.0,20.0,0.7265625,11.6201171875,8,53963793.0,URBANA,,
SANTANDER,SURATA,OPERACION,30.0,30.0,6.23046875,126.0634765625,22,65915373.47,URBANA,,
SANTANDER,BOLIVAR,OPERACION,30.0,30.0,6.7890625,83.2802734375,34,65915373.47,URBANA,,
PUTUMAYO,SANTIAGO,OPERACION,30.0,30.0,13.0966796875,140.904296875,49,65915373.47,URBANA,,
TOLIMA,CARMEN DE APICALA,OPERACION,30.0,30.0,13.986328125,189.2158203125,128,65915373.47,URBANA,,
BOYACA,TUNUNGUA,OPERACION,30.0,30.0,11.044921875,134.6181640625,38,65915373.47,URBANA,,
CALDAS,ARANZAZU,OPERACION,30.0,30.0,2.2314453125,39.9169921875,45,65915373.47,URBANA,,
